Influencer_Name,IG_Handle,Category,Followers,Avg_Likes,Eng_Auth,Posts_Per_Week,Country,Email_Status
Yaman Agarwal,@yaman_agarwal,Tech,88069,3306.0,2661.0,2.0,India,Verified
Gaurav Taneja,@gaurav_taneja,Gaming,98891,3450.0,2847.0,5.0,India,Verified
Ritu Rathee,@ritu_rathee,Lifestyle,97922,1666.0,1322.0,,India,Pending
Sourav Joshi,@sourav_joshi,Education,62921,1074.0,,6.0,India,Unverified
Piyush Joshi,@piyush_joshi,AI,66661,2215.0,1572.0,7.0,India,Unverified
Arun Prabhudesai,@arun_prabhudesai,Education,78027,3160.0,,5.0,India,Verified
Ashish Kumar,@ashish_kumar,Lifestyle,64021,1376.0,1030.0,6.0,India,Pending
Geekyranjit,@geekyranjit,,49734,4864.0,4583.0,2.0,India,Unverified
Rajiv Makhni,@rajiv_makhni,Education,96672,619.0,475.0,4.0,India,Unverified
Mallika Dua,@mallika_dua,AI,42217,616.0,443.0,,India,Verified
Srishti Dixit,@srishti_dixit,Lifestyle,84740,2164.0,1608.0,1.0,India,Pending
Vishnu Kaushal,@vishnu_kaushal,AI,56175,1059.0,789.0,5.0,India,Verified
Kareema Barry,@kareema_barry,,13343,4570.0,3949.0,5.0,,Unverified
Agasthya Shah,@agasthya_shah,Gaming,69638,3647.0,,3.0,India,Verified
Devishi Madaan,@devishi_madaan,Tech,71389,1743.0,1240.0,,India,Unverified
Taneesho,@taneesho,Lifestyle,39124,3459.0,2505.0,5.0,India,Pending
Sakshi Shivdasani,@sakshi_shivdasani,Lifestyle,72752,2257.0,1946.0,2.0,India,Unverified
Tarini Peshawaria,@tarini_peshawaria,Gaming,78385,3751.0,2976.0,2.0,India,Pending
Vasudha Rai,@vasudha_rai,AI,19823,3316.0,2768.0,5.0,India,Pending
Kritika Khurana,@kritika_khurana,AI,59115,1395.0,1198.0,4.0,India,Unverified
Deeksha Khurana,@deeksha_khurana,,45195,2068.0,1684.0,3.0,India,Pending
Siddharth Batra,@siddharth_batra,Gaming,48304,4413.0,3317.0,5.0,India,Verified
Sejal Kumar,@sejal_kumar,Lifestyle,48494,3873.0,2728.0,,India,Unverified
Larissa DSa,@larissa_dsa,Education,37350,3396.0,2933.0,5.0,India,Unverified
Mumbiker Nikhil,@mumbiker_nikhil,AI,85353,3569.0,3225.0,1.0,India,Pending
Zaid Darbar,@zaid_darbar,Lifestyle,92745,2016.0,1883.0,4.0,India,Verified
Kavya Singh,@kavyatech_ai,Tech/AI,"45,000",2100.0,1850.0,4.0,India,Verified
Arjun Sharma,@arjun_codes,Coding,12k,800.0,750.0,5.0,India,Verified
Siddharth Verma,@sid_ai_explorer,AI/ML,88500,4200.0,3900.0,,India,Unverified
Ananya Iyer,@ananya_data,Data Science,"25,000",1500.0,1400.0,6.0,India,Verified
Varun Rao,@varun_cloud,Cloud Computing,15k,700.0,650.0,2.0,India,Verified
